,continent,year,gdpPercap,lifeExp,population
112,Australia,1975,5878.136109,69.07136006,16771156
113,Asia,1976,526.2859917,59.60904331,2410304490
114,Europe,1976,2869.436645,70.76106878,682155375
115,Africa,1976,409.4897107,48.56470336,428797414
116,Oceania,1976,3311.334724,67.23818705,4827125
117,North America,1976,6293.444882,69.93105081,352791474
118,South America,1976,1355.228144,62.41242318,221112226
119,Australia,1976,6267.444997,69.47118364,16990339
120,Asia,1977,616.7616755,60.1730847,2456738261
121,Europe,1977,3234.944423,70.9199294,685569054
122,Africa,1977,443.0338633,48.99661298,440754919
123,Oceania,1977,3686.951317,67.15283812,4872102
124,North America,1977,6796.150444,70.31884606,357963273
125,South America,1977,1524.078963,62.74098006,226130946
126,Australia,1977,6494.259943,69.82885138,17231660
127,Asia,1978,739.435447,60.67728908,2503833720
128,Europe,1978,3938.719963,70.9886747,688916218
129,Africa,1978,484.0984274,49.42106591,453156541
130,Oceania,1978,4361.229082,67.75372672,4908969
131,North America,1978,7539.29334,70.52676926,363211074
132,South America,1978,1648.634096,63.0758089,231248031
133,Australia,1978,6883.735349,70.18873899,17483034
134,Asia,1979,816.7657973,61.14541139,2552152447
135,Europe,1979,4781.558906,71.07986138,692250096
136,Africa,1979,570.5607912,49.83612518,466004931
137,Oceania,1979,4939.006047,67.81690232,4934203
138,North America,1979,8352.200799,70.93939359,368563819
139,South America,1979,1885.304593,63.41932801,236464692
140,Australia,1979,7733.099696,70.544648,17727360
141,Asia,1980,890.0431174,61.557773,2600747790
142,Europe,1980,5635.901644,71.11830645,695728375
143,Africa,1980,716.2397314,50.24974542,479288578
144,Oceania,1980,5496.623338,67.69844036,4978839
145,North America,1980,9119.958117,70.95782893,373688132
146,South America,1980,2058.295651,63.76907043,241778169
147,Australia,1980,8470.184585,70.89731388,17996473
148,Asia,1981,945.117056,61.9453308,2650869605
149,Europe,1981,4978.883059,71.53688757,699009889
150,Africa,1981,710.8294209,50.64364313,493005069
151,Oceania,1981,5624.966277,68.20607241,5035896
152,North America,1981,10155.65994,71.32905977,378862947
153,South America,1981,2247.590391,64.12098359,247190097
154,Australia,1981,9784.35522,71.2462252,18325469
155,Asia,1982,903.2602413,62.31415884,2703967492
156,Europe,1982,4784.765585,71.83184923,701739785
157,Africa,1982,663.0119778,51.02529966,507148858
158,Oceania,1982,5492.282066,68.28027235,5115373
159,North America,1982,10201.69879,71.68952555,383980257
160,South America,1982,2254.951256,64.46838571,252690375
161,Australia,1982,10513.63108,71.50782003,18673199
162,Asia,1983,938.4601994,62.64650219,2757737568
163,Europe,1983,4626.527198,71.85829531,704231733
164,Africa,1983,622.4285198,51.39108821,521703743
165,Oceania,1983,5422.867876,68.35724111,5207690
166,North America,1983,10842.63493,71.86622242,388975054
167,South America,1983,1922.72878,64.80772084,258249149
168,Australia,1983,9478.398468,71.73971585,18963004
169,Asia,1984,966.8218126,62.98579651,2810766795
170,Europe,1984,4431.657998,71.97574736,706911959
171,Africa,1984,595.314526,51.73439118,536654518
172,Oceania,1984,4858.475365,68.67696621,5282864
173,North America,1984,11851.89093,72.05884419,393868250
174,South America,1984,1716.973549,65.13823718,263827224
175,Australia,1984,10191.0803,71.95130472,19238041
176,Asia,1985,1013.195664,63.30820823,2864757535
177,Europe,1985,4561.038572,72.18407121,709708575
178,Africa,1985,579.4917066,52.04383441,551977595
179,Oceania,1985,5381.141993,68.32721747,5346674
180,North America,1985,12507.03371,72.17463913,398828903
181,South America,1985,1744.629638,65.45957106,269393963
182,Australia,1985,9353.907812,72.15583227,19552720
183,Asia,1986,1239.658548,63.63687681,2920637132
184,Europe,1986,6221.979243,72.70387564,712620683
185,Africa,1986,625.4122928,52.30670571,567667032
186,Oceania,1986,6702.619867,68.45641452,5385515
187,North America,1986,12850.66379,72.33351764,403925161
188,South America,1986,1952.933324,65.77304907,274936323
189,Australia,1986,9286.303644,72.36057089,19914252
190,Asia,1987,1373.439265,63.96163235,2978218820
191,Europe,1987,7809.010117,72.91727298,715587581
192,Africa,1987,695.9266029,52.5169456,583713150
193,Oceania,1987,8507.185273,69.0412205,5449855
194,North America,1987,13544.15279,72.58284554,409058418
195,South America,1987,1999.044528,66.08185506,280453358
196,Australia,1987,9501.708743,72.5933813,20261602
197,Asia,1988,1576.079192,64.25543708,3036264372
198,Europe,1988,8664.225723,73.05072019,718636695
199,Africa,1988,696.5444123,52.67454984,600079194
200,Oceania,1988,9463.121895,68.60720356,5493284
201,North America,1988,14596.39617,72.68889664,414266859
202,South America,1988,2193.61309,66.39227043,285941555
203,Australia,1988,11621.79873,72.83463354,20632929
204,Asia,1989,1593.172218,64.57074361,3093919995
205,Europe,1989,9502.022459,73.10523851,721646588
206,Africa,1989,702.553311,52.78627042,616731898
207,Oceania,1989,9176.829452,68.83166403,5544351
208,North America,1989,15616.61303,72.97521522,419767813
209,South America,1989,2295.271271,66.70688736,291401459
210,Australia,1989,14438.01396,73.08490904,21020054
211,Asia,1990,1714.050214,64.8687733,3152806190
212,Europe,1990,11650.38027,72.3301057,731708779
213,Africa,1990,756.4930553,52.8642445,633640675
214,Oceania,1990,9547.396051,69.41656924,5613542
215,North America,1990,16334.30713,73.2335242,425740358
216,South America,1990,2648.008522,67.03325038,296833042
217,Australia,1990,14718.08977,73.33696738,21378159
218,Asia,1991,1755.761489,65.16787937,3208857358
219,Europe,1991,12056.09551,72.96177153,733177523
220,Africa,1991,726.0389085,52.92614718,650811416
221,Oceania,1991,8797.014593,69.80407541,5820928
222,North America,1991,16709.47761,73.46726933,432290637
223,South America,1991,3306.716239,67.37732507,302228188
224,Australia,1991,15195.82823,73.58886646,21707007
225,Asia,1992,1877.179954,65.44826269,3261225197
226,Europe,1992,12917.65096,72.11871621,734889616
227,Africa,1992,720.8408171,52.98445468,668243092
228,Oceania,1992,8627.176598,69.9546224,5901869
229,North America,1992,17367.34043,73.73040578,439033174
230,South America,1992,2808.259659,67.74133129,307581137
231,Australia,1992,14982.4206,73.69906328,22030520
232,Asia,1993,2085.312697,65.73411316,3314682468
233,Europe,1993,11798.84321,71.74972186,736392554
234,Africa,1993,682.6401878,53.04785034,685909847
235,Oceania,1993,9431.174094,70.20888484,5988246
236,North America,1993,18171.56918,73.74232932,445642272
237,South America,1993,2942.556015,68.12405665,312897713
238,Australia,1993,14219.24373,74.11553439,22318169
239,Asia,1994,2272.049485,66.0313884,3367985850
240,Europe,1994,12420.27612,71.82855636,736955606
241,Africa,1994,654.5106903,53.11757965,703787614
242,Oceania,1994,10730.20358,70.52427941,6081929
243,North America,1994,18959.25156,73.99030891,451997770
244,South America,1994,3491.209319,68.52464229,318187423
245,Australia,1994,14528.65079,74.13545337,22625606
246,Asia,1995,2553.932174,66.32020393,3422494128
247,Europe,1995,14416.36752,71.92076069,737225474
248,Africa,1995,713.9609305,53.19359421,721856701
249,Oceania,1995,12167.77328,70.76382587,6179064
250,North America,1995,19165.66277,74.11674167,458205275
251,South America,1995,4324.158239,68.93794814,323455409
252,Australia,1995,16242.4181,74.11880376,22966276
253,Asia,1996,2449.90906,66.65493216,3475126997
254,Europe,1996,14710.01218,72.33007438,737077495
255,Africa,1996,740.6911518,53.27792909,740126716
256,Oceania,1996,12999.74012,70.68535957,6279230
257,North America,1996,20028.28314,74.482731,464399841
258,South America,1996,4520.149399,69.35788914,328702576
259,Australia,1996,17441.70431,74.33705683,23333437
260,Asia,1997,2319.728518,66.98876897,3527284225
261,Europe,1997,13927.40061,73.48694339,737096561
262,Africa,1997,753.7110796,53.37818908,758634187
263,Oceania,1997,12067.47492,71.0851633,6368784
264,North America,1997,21095.48548,74.85990277,470677888
265,South America,1997,4741.734043,69.77702865,333920629
266,Australia,1997,18631.13648,74.66840782,23671910
267,Asia,1998,2101.936027,67.32854387,3578559304
268,Europe,1998,14168.07773,73.03871967,736849799
269,Africa,1998,718.1806696,53.50408919,777447137
270,Oceania,1998,10329.56855,71.68762361,6441056
271,North America,1998,21868.51034,75.04030257,476789551
272,South America,1998,4606.61748,70.18786588,339094349
273,Australia,1998,16813.82024,74.80086569,24002178
274,Asia,1999,2304.039177,67.68293246,3628528628
275,Europe,1999,14039.60152,73.01254319,736632329
276,Africa,1999,723.9862785,53.66879022,796664942
277,Oceania,1999,10663.71413,72.16810778,6497596
278,North America,1999,23054.50149,75.15386045,482777460
279,South America,1999,3644.132611,70.58475911,344203469
280,Australia,1999,16119.88209,75.05363601,24356479
281,Asia,2000,2466.479792,68.05257082,3677793312
282,Europe,2000,13193.6006,73.88553545,736035765
283,Africa,2000,752.4142122,53.88955547,816361439
284,Oceania,2000,9488.164048,72.91987458,6554353
285,North America,2000,24434.62532,75.31613592,488646681
286,South America,2000,3853.04008,70.96357198,349232714
287,Australia,2000,16944.94626,75.3122959,24725222
288,Asia,2001,2285.838243,68.41810423,3726352351
289,Europe,2001,13424.63729,74.14752219,735840753
290,Africa,2001,697.9255247,54.18303396,836575898
291,Oceania,2001,8660.443355,72.31567005,6608774
292,North America,2001,24940.11075,75.53258855,494164251
293,South America,2001,3486.425465,71.32186081,354178756
294,Australia,2001,15200.70732,75.65450884,25129152
295,Asia,2002,2302.910477,68.76477069,3773990817
296,Europe,2002,14661.95791,74.2014373,735891144
297,Africa,2002,688.4838535,54.55685194,857335444
298,Oceania,2002,11235.21402,72.56786888,6706106
299,North America,2002,25495.35795,75.69530401,499437146
300,South America,2002,2727.288756,71.66143415,359043401
301,Australia,2002,15585.15984,75.92051062,25513716
302,Asia,2003,2525.948319,69.10239829,3820824117
303,Europe,2003,17815.7179,74.27055384,736574954
304,Africa,2003,814.7656285,55.01134822,878684255
305,Oceania,2003,14344.94804,72.91938809,6812154
306,North America,2003,26516.42808,75.82545135,504561724
307,South America,2003,2912.812177,71.98514764,363823279
308,Australia,2003,18157.46903,76.18911966,25906124
309,Asia,2004,2822.959566,69.43076861,3867169519
310,Europe,2004,20672.89267,74.72731906,737509314
311,Africa,2004,954.9445272,55.54047824,900673510
312,Oceania,2004,16562.64677,73.31909459,6899313
313,North America,2004,28141.63046,76.17427259,509970847
314,South America,2004,3524.505783,72.29401747,368516020
315,Australia,2004,23479.73994,76.41741794,26288917
316,Asia,2005,3042.025323,69.73160321,3913286486
317,Europe,2005,21873.57336,74.86673229,738473519
